Age,Sex,Temperature,Comfort
15,0,24.2,1
15,0,24.2,1
15,1,24.2,1
14,0,24.2,0
15,1,24.2,1
14,0,24.2,0
15,1,24.2,1
15,0,24.2,0
14,0,24.2,0
13,1,24.2,1
14,0,24.2,1
15,0,24.2,1
15,0,24.2,0
15,0,24.2,1
15,0,24.2,0
15,0,24.2,1
15,1,24.2,0
14,1,24.2,0
14,0,24.2,0
15,0,23.6,0
14,0,23.6,1
14,0,23.6,0
14,0,23.6,1
14,0,23.6,0
14,0,23.6,1
14,1,23.6,1
13,1,23.6,0
14,1,23.6,0
51,1,23.6,1
13,0,23.6,1
14,0,23.6,1
14,1,26.9,0
14,1,26.9,1
14,1,26.9,0
14,1,26.9,0
14,1,26.9,0
14,1,26.9,0
14,1,26.9,0
14,1,26.9,0
13,1,26.9,0
14,1,26.9,0
13,1,26.9,0
14,0,26.9,0
14,0,26.9,0
14,0,26.9,0
14,0,26.9,0
14,0,26.9,0
14,0,26.9,0
14,1,26.9,0
14,0,26.9,0
14,0,26.9,0
14,1,26.9,0
14,1,26.9,0
14,1,26.9,0
14,1,26.9,1
14,1,26.9,0
14,1,26.9,0
14,0,26.9,1
14,0,26.9,0
14,0,26.9,1
14,0,26.9,0
14,0,26.9,1
14,0,26.9,0
14,1,26.9,0
14,1,26.9,0
48,1,26.9,0
14,0,26.9,0
13,0,26.9,0
14,0,26.9,0
14,0,26.9,0
13,0,26.9,0
14,0,26.9,0
13,1,26.9,0
60,1,33.7,0
32,1,33.5,1
46,1,34.1,0
58,1,37.0,0
28,1,34.6,0
25,1,34.7,0
24,1,34.5,1
28,1,35.6,0
27,1,35.2,0
40,1,35.1,1
26,1,28.6,0
37,1,34.3,0
50,1,34.3,1
37,1,34.0,0
36,0,34.5,0
24,0,31.5,0
46,1,31.8,1
37,1,27.5,1
49,1,31.5,0
47,0,33.4,1
35,1,34.9,0
40,1,34.5,0
44,1,34.7,1
45,1,33.7,1
47,1,31.9,1
30,1,33.7,0
44,1,22.0,1
24,1,31.3,1
45,1,34.7,1
29,1,31.5,1
20,1,31.8,0
19,1,27.7,0
20,1,27.3,0
20,1,26.8,0
19,1,26.6,0
20,0,27.2,1
20,0,26.5,1
20,0,26.7,1
18,1,26.9,0
20,1,27.2,0
19,0,27.6,1
19,0,28.3,1
19,0,28.4,1
20,1,27.7,1
20,1,27.1,1
